supplier_ref,product_description,brand,manufacturer_code,pack_size,unit_price_gbp,vat_rate,category,notes
ND-001,Nitrile Examination Gloves Extra Small,NovaDent ProTouch,MED-NIT-XS-100,box/100,7.80,0%,PPE,
ND-002,Nitrile Examination Gloves Small,NovaDent ProTouch,MED-NIT-SM-100,box/100,7.90,0%,PPE,
ND-003,Nitrile Examination Gloves Medium,NovaDent ProTouch,MED-NIT-MD-100,box/100,8.10,0%,PPE,
ND-004,Nitrile Examination Gloves Large,NovaDent ProTouch,MED-NIT-LG-100,box/100,8.10,0%,PPE,
ND-005,Vinyl Examination Gloves Medium Powdered,NovaDent ProTouch,MED-VNL-MD-100,box/100,5.20,0%,PPE,
ND-006,Vinyl Examination Gloves Large Powder-Free,NovaDent ProTouch,MED-VNL-LG-PF-100,box/100,5.40,0%,PPE,
ND-007,Latex Examination Gloves Medium,NovaDent ProTouch,MED-LAT-MD-100,box/100,6.50,0%,PPE,contains latex
ND-008,Type IIR Surgical Face Mask Blue,NovaDent Shield,MED-MSK-IIR-50,box/50,5.60,0%,PPE,
ND-009,Type I Face Mask White,NovaDent Shield,MED-MSK-TI-50,box/50,3.80,0%,PPE,
ND-010,FFP2 Respirator Mask,NovaDent Shield,MED-MSK-FFP2-20,box/20,13.20,0%,PPE,
ND-011,FFP3 Respirator Mask with Valve,NovaDent Shield,MED-MSK-FFP3V-10,box/10,18.50,0%,PPE,
ND-012,3M Filtek Z250 Composite Shade A1,3M ESPE,3M-FLT-Z250-A1,1 syringe 4g,22.10,20%,Restorative,
ND-013,3M Filtek Z250 Composite Shade A2,3M ESPE,3M-FLT-Z250-A2,1 syringe 4g,22.10,20%,Restorative,
ND-014,3M Filtek Z250 Composite Shade A3,3M ESPE,3M-FLT-Z250-A3,1 syringe 4g,22.10,20%,Restorative,
ND-015,3M Filtek Z250 Composite Shade B2,3M ESPE,3M-FLT-Z250-B2,1 syringe 4g,22.10,20%,Restorative,
ND-016,GC Fuji IX GP Extra Capsules Shade A2,GC UK,GC-F9-GPX-A2-50,box/50,89.00,20%,Restorative,
ND-017,GC Fuji IX GP Extra Capsules Shade A3,GC UK,GC-F9-GPX-A3-50,box/50,89.00,20%,Restorative,
ND-018,SDI Riva Self Cure Capsules A2,SDI,SDI-RSC-A2-050,box/50,54.00,20%,Restorative,
ND-019,SDI Riva Self Cure Capsules A3,SDI,SDI-RSC-A3-050,box/50,54.00,20%,Restorative,
ND-020,Dentsply Caulk Esthet-X HD Composite A2,Dentsply Sirona,DS-EXH-A2,1 syringe 3g,24.50,20%,Restorative,
ND-021,Septanest 4% Articaine 1:100000 Cartridges,Septodont,SEP-ART4-100-50,box/50,28.00,20%,Anaesthetics,
ND-022,Septanest 4% Articaine 1:200000 Cartridges,Septodont,SEP-ART4-200-50,box/50,27.50,20%,Anaesthetics,clinically different - NOT a duplicate of ND-021
ND-023,Lidocaine 2% Adrenaline 1:80000 Cartridges,Pierrel,PIE-LID2-80-50,box/50,19.80,20%,Anaesthetics,
ND-024,Mepivacaine 3% Plain Cartridges,Septodont,SEP-MEP3-PL-50,box/50,22.40,20%,Anaesthetics,plain - no vasoconstrictor
ND-025,Citanest 3% Prilocaine Plain Cartridges,Dentsply,DS-CIT3-PL-50,box/50,21.60,20%,Anaesthetics,
ND-026,Alginate Impression Material Fast Set 500g,NovaDent AlgiForm,ND-ALG-FS-500,500g tub,6.80,20%,Impression,
ND-027,Alginate Impression Material Regular Set 500g,NovaDent AlgiForm,ND-ALG-RS-500,500g tub,6.75,20%,Impression,
ND-028,Aquasil Ultra Monophase Regular Set,Dentsply Sirona,DS-AQU-MON-REG,50ml cartridge,28.90,20%,Impression,
ND-029,Aquasil Ultra Light Body Fast Set,Dentsply Sirona,DS-AQU-LB-FS,50ml cartridge,29.50,20%,Impression,different viscosity
ND-030,Impregum Penta Soft Polyether Medium,3M ESPE,3M-IMP-PS-MED,50ml cartridge,38.20,20%,Impression,
ND-031,Reprosil VPS Impression Material Heavy Body,Dentsply,DS-REP-HB,50ml cartridge,31.40,20%,Impression,
ND-032,Rubber Dam Latex-Free Medium 6x6 inch,Dentsply Sirona,DS-RD-LF-MED-36,36 sheet pack,14.50,20%,Isolation,
ND-033,Rubber Dam Latex Medium 6x6 inch,Dentsply Sirona,DS-RD-L-MED-36,36 sheet pack,11.20,20%,Isolation,latex - clinically different
ND-034,Rubber Dam Clamps Assorted Pack,NovaDent IsolaPro,ND-RDC-ASST,set of 6,18.40,20%,Isolation,
