supplier_ref,product_description,brand,manufacturer_code,pack_size,unit_price_gbp,vat_rate,category,notes
PC-001,Nitrile Exam Gloves X-Small Powder-Free,PrimeCare UltraGrip,MED-NIT-XS-100,100 units,8.10,0%,PPE,
PC-002,Nitrile Exam Gloves Small Powder-Free,PrimeCare UltraGrip,MED-NIT-SM-100,100 units,8.20,0%,PPE,
PC-003,Nitrile Exam Gloves Medium Powder-Free,PrimeCare UltraGrip,MED-NIT-MD-100,100 units,8.10,0%,PPE,", price matches"
PC-004,Nitrile Exam Gloves Large Powder-Free,PrimeCare UltraGrip,MED-NIT-LG-100,100 units,8.10,0%,PPE,
PC-005,Latex Examination Gloves Small,PrimeCare UltraGrip,MED-LAT-SM-100,100 units,6.40,0%,PPE,
PC-006,Latex Examination Gloves Medium,PrimeCare UltraGrip,MED-LAT-MD-100,100 units,6.50,0%,PPE,
PC-007,Neoprene Surgical Gloves Size 7.0,PrimeCare SurgicalPlus,PCM-NEO-70,pair,3.80,0%,PPE,
PC-008,Type IIR Surgical Mask Blue 3-Ply,PrimeCare Shield,MED-MSK-IIR-50,50 units,5.60,0%,PPE,
PC-009,FFP2 Respirator Valveless,PrimeCare Shield,MED-MSK-FFP2-20,20 units,13.20,0%,PPE,
PC-010,Disposable Surgical Cap Blue,PrimeCare Shield,PCM-CAP-BLU-100,100 units,4.20,0%,PPE,
PC-011,Disposable Overshoes,PrimeCare Shield,PCM-OVSH-100,100 units,6.80,0%,PPE,
PC-012,3M Filtek Z250 Syringe Shade A1,3M ESPE,3M-FLT-Z250-A1,4g syringe,22.10,20%,Restorative,
PC-013,3M Filtek Z250 Syringe Shade A2,3M ESPE,3M-FLT-Z250-A2X,4g syringe,22.10,20%,Restorative,", trailing X is PrimeCare catalogue suffix"
PC-014,3M Filtek Z250 Syringe Shade A3,3M ESPE,3M-FLT-Z250-A3,4g syringe,22.10,20%,Restorative,
PC-015,GC Fuji IX GP Extra Caps A2,GC UK,GC-F9-GPX-A2-5O,50 capsules,89.00,20%,Restorative,
PC-016,GC Fuji IX GP Extra Caps A3,GC UK,GC-F9-GPX-A3-50,50 capsules,89.00,20%,Restorative,
PC-017,SDI Riva Self Cure A2 Capsules,SDI,SDI-RSC-A2-50,50 capsules,54.00,20%,Restorative,", no leading zero"
